Item,Link,Type
Albuquerque,http://www.cabq.gov/abq-data/,US City or County
Ann Arbor,http://www.a2gov.org/data/,US City or County
Arvada,http://arvada.org/opendata/,US City or County
Asheville,http://opendatacatalog.ashevillenc.gov/,US City or County
Atlanta,http://gis.atlantaga.gov/,US City or County
Austin,http://data.austintexas.gov/,US City or County
Baltimore,http://data.baltimorecity.gov/,US City or County
Baton Rouge,https://data.brla.gov/,US City or County
Belleville,https://data.illinois.gov/belleville,US City or County
"Bloomington, Indiana",https://data.bloomington.in.gov/,US City or County
"Boise, Idaho",http://opendata.cityofboise.org/,US City or County
Boston,https://data.cityofboston.gov/,US City or County
Burlington,https://data.burlingtonvt.gov/,US City or County
Champaign,https://data.illinois.gov/champaign,US City or County
"Charlotte, NC",http://clt.charlotte.opendata.arcgis.com/,US City or County
Chicago,http://data.cityofchicago.org/,US City or County
Cook County,http://data.cookcountyil.gov/,US City or County
Denver,http://data.denvergov.org/,US City or County
Gilpin County,http://data.opencolorado.org/group/gilpin-county,US City or County
Honolulu,https://data.honolulu.gov/,US City or County
Houston,http://data.codeforhouston.com/,US City or County
Indianapolis/Marion County,http://data.indy.gov/,US City or County
Kansas City,https://data.kcmo.org/,US City or County
King County,http://www.datakc.org/,US City or County
Las Vegas,https://opendata.lasvegasnevada.gov/,US City or County
Lexington,http://www.lexingtonky.gov/index.aspx?page=416,US City or County
Los Angeles,https://controllerdata.lacity.org/browse,US City or County
Louisville,http://portal.louisvilleky.gov/service/data,US City or County
Madison,https://data.cityofmadison.com/,US City or County
Montgomery County,https://data.montgomerycountymd.gov/,US City or County
New Orleans,http://data.nola.gov/,US City or County
New York City,http://www.nyc.gov/data/,US City or County
Palo Alto,http://data.cityofpaloalto.org/,US City or County
Philadelphia,http://www.opendataphilly.org/,US City or County
Portland,http://civicapps.org/datasets/,US City or County
Providence,https://data.providenceri.gov/,US City or County
Raleigh,http://www.raleighnc.gov/open/,US City or County
Rockford,https://data.illinois.gov/rockford,US City or County
San Francisco,http://www.datasf.org/,US City or County
San Mateo County,https://data.smcgov.org/,US City or County
Santa Cruz,http://data.cityofsantacruz.com/,US City or County
Scottsdale,http://data.scottsdaleaz.gov/,US City or County
Seattle,http://data.seattle.gov/,US City or County
Somerville,http://data.somervillema.gov/,US City or County
South Bend,https://data.southbendin.gov/,US City or County
Wake County,http://www.wakegov.com/data/Pages/default.aspx,US City or County
Weatherford,http://tx-weatherford2.civicplus.com/index.aspx?NID=1448,US City or County
  -   Entries not represented in the map,,
