prime_award_report_id,prime_award_piid,prime_award_idvpiid,prime_award_federal_award_id,Type_of_Spending,prime_award_date_submitted,prime_award_report_month,prime_award_report_year,prime_award_report_type,prime_award_principal_place_street,prime_award_principal_place_city,prime_award_principal_place_state,prime_award_principal_place_zip,prime_award_principal_place_district,prime_award_principal_place_country,prime_awardee_parent_duns,prime_awardee_parent_contractor_name,prime_award_contracting_agency_id,prime_award_contracting_agency_name,prime_award_contracting_office_id,prime_award_contracting_office_name,prime_award_funding_agency_id,prime_award_funding_agency_name,prime_award_funding_office_id,prime_award_funding_office_name,prime_award_program_source_agency,prime_award_program_source_account,prime_award_program_source_subaccount,prime_awardee_executive1,prime_awardee_executive1_compensation,prime_awardee_executive2,prime_awardee_executive2_compensation,prime_awardee_executive3,prime_awardee_executive3_compensation,prime_awardee_executive4,prime_awardee_executive4_compensation,prime_awardee_executive5,prime_awardee_executive5_compensation,prime_award_principal_naics_code,prime_award_principal_naics_desc,prime_award_CFDA_program_number_title_codes,prime_award_amount,prime_award_date_signed,prime_award_project_description,prime_award_transaction_type,prime_award_program_title,prime_awardee_recovery_model_q1,prime_awardee_recovery_model_q2,prime_award_fiscal_year,prime_award_contracting_major_agency_id,prime_award_contracting_major_agency_name,prime_award_funding_major_agency_id,prime_award_funding_major_agency_name,prime_award_agencyid,prime_award_idvagencyid,subawardee_dunsnumber,subawardee_name,subawardee_dba_name,subawardee_street,subawardee_city,subawardee_state,subawardee_zipcode,subawardee_congressionaldistrict,subawardee_countrycode,subaward_principal_place_street,subaward_principal_place_city,subaward_principal_place_state,subaward_principal_place_zip,subaward_principal_place_district,subaward_principal_place_country,subawardee_parent_duns,subawardee_parent_contractor_name,subaward_amount,subaward_date,subaward_principal_naics_code,subaward_principal_naics_desc,subaward_funding_office_id,subaward_funding_office_name,subaward_federal_agency_id,subaward_federal_agency_name,subaward_major_agency_id,subaward_major_agency_name,subaward_number,subaward_project_description,subawardee_recovery_model_q1,subawardee_recovery_model_q2,subaward_report_month,subaward_report_year,subaward_fiscal_year,subawardee_executive1,subawardee_executive1_compensation,subawardee_executive2,subawardee_executive2_compensation,subawardee_executive3,subawardee_executive3_compensation,subawardee_executive4,subawardee_executive4_compensation,subawardee_executive5,subawardee_executive5_compensation,subawardee_business_types,subaward_CFDA_program_number_title_codes
aab463818443567e9f59996230d5a4c7,NM57X01300,,NM57X01300,sg,08/16/2012,08,2012,,,SANTA FE,NM,875041149,NM03,US,007111818,,,FEDERAL TRANSIT ADMINISTRATION,,,,,,,,,,,,,,,,,,,,,,20.521 New Freedom Program,219068.00,10/01/2013,NM Statewide New Freedom,,NM Statewide New Freedom,,,2014,6900,"TRANSPORTATION, DEPARTMENT OF",6900,"TRANSPORTATION, DEPARTMENT OF",,,084475854,CITY OF CARLSBAD,,101 N HALAGUENO ST,CARLSBAD,NM,882204943,NM02,US,,Carlsbad,NM,882204943,NM02,US,084475854,CITY OF CARLSBAD,18688.00,10/01/2013,,,,,,,6900,"TRANSPORTATION, DEPARTMENT OF",PTBNM57X013001,Funding operating cost for FY13 New Freedom program.,0,0,08,2012,2014,,,,,,,,,,,,20.521 New Freedom Program
0baa3053b3333bccde51c4114b152611,U77HP23074,,U77HP23074,sg,01/15/2014,01,2014,,,Albuquerque,NM,871310001,NM01,US,784121725,,,HEALTH RESOURCES AND SERVICES ADMINISTRATION,,,,,,,,,,,,,,,,,,,,,,93.107 Area Health Education Centers Point of Service Maintenance and Enhancement Awards,779549.00,01/09/2014,AREA HEALTH EDUCATION CENTERS POINT OF SERVICE MAINTENANCE AND ENHANCEMENT,,AREA HEALTH EDUCATION CENTERS POINT OF SERVICE MAINTENANCE AND ENHANCEMENT,,,2014,7500,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",7500,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",,,173851965,NEW MEXICO STATE UNIVERSITY,OFFICE OF SPONSORED PROGRAMS,1050 STEWART ST STE E1200,LAS CRUCES,NM,880038001,NM02,US,,Las Cruces,NM,880038002,NM02,US,861367373,New Mexico State University,76253.00,01/09/2014,,,,,,,7500,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",3RF40/2,"The Southern Area Health Education Center's (SoAHEC)purpose is to provide education to Southern New Mexico's population in health professional career opportunities, clinical experiences for health professional students in rural areas and continuing education for existing health professionals.",0,0,01,2014,2014,,,,,,,,,,,,93.107 Area Health Education Centers Point of Service Maintenance and Enhancement Awards
2a01d46ead6cabb1ee78f0fb5fdb35db,U58DP004710,,U58DP004710,sg,01/17/2014,04,2013,,,LORDSBURG,NM,880452618,NM02,US,070951798,Hidalgo Medical Services,,CENTERS FOR DISEASE CONTROL AND PREVENTION,,,,,,,,,,,,,,,,,,,,,,93.738 PPHF 2012: Racial and Ethnic Approaches to Community Health Program financed solely by 2012 Public Prevention and Health Funds ,2962062.00,10/01/2013,"REACH SU COMUNIDAD: ADDRESING HEALTH DISPARITIES IN PHYSICAL ACTIVITY, NUTRITION,",,"REACH SU COMUNIDAD: ADDRESING HEALTH DISPARITIES IN PHYSICAL ACTIVITY, NUTRITION,",,,2014,7500,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",7500,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",,,094134590,LA FAMILIA MEDICAL CENTER,LA FAMILIA MEDICAL CENTER,1035 ALTO ST,SANTA FE,NM,875022406,NM03,US,,Santa Fe,NM,875022406,NM03,US,,,93177.52,10/01/2013,,,,,,,7500,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",N/A,"The purpose of this award is designed to support national organizations to fund, manage, and monitor sub-recipients, such as such as local community-based organizations or associated partner/member organizations, to address health disparities and implement evidence- and practice-based strategies that reduce health disparities for intervention population(s) experiencing high burden of disease or risk factors.  HMS is focusing specifically on Hispanic/Latino populations These efforts will contribute to the development and implementation of a community health action plan to address chronic disease health disparities.  This award specifically addresses the following 3 Strategic Directions: changes in weight, proper nutrition, physical activity.",0,0,04,2013,2014,,,,,,,,,,,,93.738 PPHF 2012: Racial and Ethnic Approaches to Community Health Program financed solely by 2012 Public Prevention and Health Funds 
0c5633a43cf0afb19ab03d74e7087a73,AA241091355A35,,AA241091355A35,sg,11/26/2013,10,2013,,,ALBUQUERQUE,NM,871031928,NM01,US,007111818,,,EMPLOYMENT AND TRAINING ADMINISTRATION,,,,,,,,,,,,,,,,,,,,,,17.278 WIA Dislocated Worker Formula Grants; 17.258 WIA Adult Program; 17.259 WIA Youth Activities,4712789.00,10/01/2013,WIA Youth/Adult/Dislocated Workers Formula Combined,,WIA Youth/Adult/Dislocated Workers Formula Combined,,,2014,1600,"LABOR, DEPARTMENT OF",1600,"LABOR, DEPARTMENT OF",,,101704901,WORKFORCE CONNECTION OF CENTRAL NEW MEXICO,,809 COPPER AVE NW,ALBUQUERQUE,NM,871023009,NM01,US,,Albuquerque,NM,871023009,NM01,US,,,4714230.00,10/01/2013,,,,,,,1600,"LABOR, DEPARTMENT OF",14-631-001-00015,17.259 WIA Youth Activities,0,0,10,2013,2014,,,,,,,,,,,,17.278 WIA Dislocated Worker Formula Grants; 17.258 WIA Adult Program; 17.259 WIA Youth Activities
0c5633a43cf0afb19ab03d74e7087a73,AA241091355A35,,AA241091355A35,sg,11/26/2013,10,2013,,,ALBUQUERQUE,NM,871031928,NM01,US,007111818,,,EMPLOYMENT AND TRAINING ADMINISTRATION,,,,,,,,,,,,,,,,,,,,,,17.278 WIA Dislocated Worker Formula Grants; 17.258 WIA Adult Program; 17.259 WIA Youth Activities,4712789.00,10/01/2013,WIA Youth/Adult/Dislocated Workers Formula Combined,,WIA Youth/Adult/Dislocated Workers Formula Combined,,,2014,1600,"LABOR, DEPARTMENT OF",1600,"LABOR, DEPARTMENT OF",,,030374081,"WORKFORCE SOLUTIONS, NEW MEXICO DEPARTMENT OF",SOUTHWESTERN AREA WORKFORCE DEVELOPMENT BOARD,600 HWY 195 STE D,ELEPHANT BUTTE,NM,879351072,NM02,US,,Elephant Butte,NM,879351072,NM02,US,007111818,,2307973.00,10/01/2013,,,,,,,1600,"LABOR, DEPARTMENT OF",14-631-0001-00018,17.259 WIA Youth Activities 17.258 WIA Adult Activities 17.278 WIA DW ACtvities,1,1,10,2013,2014,,,,,,,,,,,,17.278 WIA Dislocated Worker Formula Grants; 17.258 WIA Adult Program; 17.259 WIA Youth Activities
9d61780c299d9df88966811215974bbf,SP1AH000021,,SP1AH000021,sg,11/27/2013,10,2013,,,Santa Fe,NM,875012744,NM03,US,007111818,,,IMMED OFFICE OF THE SECRETARY OF HEALTH AND HUMAN SERVICES,,,,,,,,,,Hanna Skandera,167731,Hipolito Aguilar,150590,Pete Goldschmidt,140765,Thomas Dauphinee,138889,Susan Lucero,138691,,,93.500 Pregnancy Assistance Fund Program,1499990.00,11/01/2013,"SUPPORT FOR EXPECTANT AND PARENTING TEENS, WOMEN, FATHERS AND THEIR FAMILIES",,"SUPPORT FOR EXPECTANT AND PARENTING TEENS, WOMEN, FATHERS AND THEIR FAMILIES",,,2014,7500,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",7500,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",,,185512956,"NEW MEXICO FORUM FOR YOUTH IN COMMUNITY, THE",,924 PARK AVE SW STE E,ALBUQUERQUE,NM,871023023,NM01,US,,Albuquerque,NM,871023021,NM01,US,,,25000.00,11/01/2013,,,,,,,7500,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",14-924-P527-00215,"NM Forum will provide Youth Leadership and Peer Educaiton Institutes based upon the Public Health Spectrum of Prevnetion Framework to utilize evidence-based approaches to engaging 4 sites in NM in an awareness campaign on teen dating violence.  The Forum will also provide training and technical assistance to sites to implement an awareness campaign in their communitities.  Additionally, youth leadership teams will be established to provide mentorship training to create a sustainable awareness campaign to promote resiliency and to prevent violence and related factors affecting expectant and parenting teens and other youth.",0,0,10,2013,2014,,,,,,,,,,,,93.500 Pregnancy Assistance Fund Program
ddaf1d04619483746c1cb4d669d78edd,12AFHNM002,,12AFHNM002,sg,01/02/2014,12,2013,,,Bernalillo,NM,871031928,NM01,US,007111818,,,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,,,,,,,,,,,,,,,,,,,,,,94.006 AmeriCorps,1409033.00,11/12/2013,"Engages AmeriCorps members in full and part-time service to meet community needs in education, the environment, health, veterans, and other areas",,"Engages AmeriCorps members in full and part-time service to meet community needs in education, the environment, health, veterans, and other areas",,,2014,9577,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,9577,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,,,049331325,FAMILIES & YOUTH INC,,1320 S SOLANO DR,LAS CRUCES,NM,880013758,NM02,US,,Las Cruces,NM,880013758,NM02,US,049331325,FAMILIES & YOUTH INC,166442.00,11/12/2013,,,,,,,9577,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,14-631-8001-00039,Ameri Corps Activities,0,0,12,2013,2014,,,,,,,,,,,,94.006 AmeriCorps
a4adaffc0f3838a21f0a38a9daa2ffcf,12ACHNM002,,12ACHNM002,sg,01/02/2014,12,2013,,,Bernalillo,NM,871031928,NM01,US,007111818,,,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,,,,,,,,,,,,,,,,,,,,,,94.006 AmeriCorps,760783.00,11/12/2013,"Engages AmeriCorps members in full and part-time service to meet community needs in education, the environment, health, veterans, and other areas",,"Engages AmeriCorps members in full and part-time service to meet community needs in education, the environment, health, veterans, and other areas",,,2014,9577,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,9577,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,,,111765293,ROCKY MOUNTAIN YOUTH CORPS,,1203 KING DR UNIT 3,TAOS,NM,875714004,NM03,US,,Toas ,NM,875714004,NM03,US,,,452568.00,11/12/2013,,,,,,,9577,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,14-631-8001-00040,Ameri Corps Activities,0,0,12,2013,2014,,,,,,,,,,,,94.006 AmeriCorps
ddaf1d04619483746c1cb4d669d78edd,12AFHNM002,,12AFHNM002,sg,01/02/2014,12,2013,,,Bernalillo,NM,871031928,NM01,US,007111818,,,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,,,,,,,,,,,,,,,,,,,,,,94.006 AmeriCorps,1409033.00,11/12/2013,"Engages AmeriCorps members in full and part-time service to meet community needs in education, the environment, health, veterans, and other areas",,"Engages AmeriCorps members in full and part-time service to meet community needs in education, the environment, health, veterans, and other areas",,,2014,9577,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,9577,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,,,808561799,"CORRECTIONS DEPARTMENT, NEW MEXICO",,4337 STATE RD 14,SANTA FE,NM,875081530,NM03,US,,Albuquerque,NM,875081530,NM03,US,007111818,,117932.00,11/12/2013,,,,,,,9577,CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,14-631-8001-00041,Ameri Corps Activities,0,0,12,2013,2014,,,,,,,,,,,,94.006 AmeriCorps
0e3ea7e5666248de249f94e70a56707d,B13MC350005,,B13MC350005,sg,02/18/2014,02,2014,,,Farmington,NM,875030000,NM03,US,080376346,CITY OF FARMINGTON,,ASSISTANT SECRETARY FOR COMMUNITY PLANNING AND DEVELOPMENT,,,,,,,,,,,,,,,,,,,,,,14.218 Community Development Block Grants/Entitlement Grants,400902.00,12/31/2013,ENTITLED CITIES,,ENTITLED CITIES,,,2014,8600,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",8600,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",,,780462524,BIG BROTHERS BIG SISTERS OF SAN JUAN COUNTY INC,,4800 COLLEGE BLVD STE 104,FARMINGTON,NM,874024710,NM03,US,,Farmington,NM,874024710,NM03,US,,,27786.30,12/31/2013,,,,,,,8600,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",B13MC350005,Office Building,0,0,02,2014,2014,,,,,,,,,,,,14.218 Community Development Block Grants/Entitlement Grants
